NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,PIT_TIME,CLASS,GROUP,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,IM1a_time,IM1a_elapsed,IM1_time,IM1_elapsed,IM2a_time,IM2a_elapsed,IM2_time,IM2_elapsed,IM3a_time,IM3a_elapsed,FL_time,FL_elapsed
3,1,11,0 days 00:01:39.955000,0,,27.213,0,,0,,0,133.3,,00:05.6,0 days 00:00:27.213000,0 days 00:00:43.483000,0 days 00:00:29.259000,184.3,,Am,,Toyota Gazoo Racing,GF,27.213,43.483,29.259,17.267,17.267,9.946,27.213,30.703,,12.78,0 days 00:01:10.696000,11.195,0 days 00:01:21.891000,,0 days 00:01:39.955000
3,1,12,0 days 00:01:40.084000,0,,27.2,0,,0,,0,133.1,,01:45.7,0 days 00:00:27.200000,0 days 00:00:43.309000,0 days 00:00:29.575000,184.3,,Am,,Toyota Gazoo Racing,GF,27.2,43.309,29.575,17.303,17.303,9.897,27.2,30.541,,12.768,0 days 00:01:10.509000,11.306,0 days 00:01:21.815000,,0 days 00:01:40.084000
3,1,13,0 days 00:01:40.207000,0,,27.397,0,,0,,0,133,,03:25.9,0 days 00:00:27.397000,0 days 00:00:43.354000,0 days 00:00:29.456000,184.3,,Am,,Toyota Gazoo Racing,GF,27.397,43.354,29.456,17.497,17.497,9.9,27.397,30.551,,12.803,0 days 00:01:10.751000,11.337,0 days 00:01:22.088000,,0 days 00:01:40.207000
3,1,14,0 days 00:01:39.817000,0,,27.189,0,,0,,0,133.5,,05:05.7,0 days 00:00:27.189000,0 days 00:00:43.148000,0 days 00:00:29.480000,183.1,,Am,,Toyota Gazoo Racing,GF,27.189,43.148,29.48,17.294,17.294,9.895,27.189,30.376,,12.772,0 days 00:01:10.337000,11.366,0 days 00:01:21.703000,,0 days 00:01:39.817000
3,1,15,0 days 00:01:39.710000,0,,27.062,0,,0,,0,133.6,,06:45.4,0 days 00:00:27.062000,0 days 00:00:43.475000,0 days 00:00:29.173000,183.1,,Am,,Toyota Gazoo Racing,GF,27.062,43.475,29.173,17.229,17.229,9.833,27.062,30.689,,12.786,0 days 00:01:10.537000,11.05,0 days 00:01:21.587000,,0 days 00:01:39.710000
3,1,16,0 days 00:01:40.182000,0,,27.224,0,,0,,0,133,,08:25.6,0 days 00:00:27.224000,0 days 00:00:43.813000,0 days 00:00:29.145000,181.2,,Am,,Toyota Gazoo Racing,GF,27.224,43.813,29.145,17.378,17.378,9.846,27.224,30.953,,12.86,0 days 00:01:11.037000,11.127,0 days 00:01:22.164000,,0 days 00:01:40.182000
3,1,17,0 days 00:01:40.248000,0,,27.186,0,,0,,0,132.9,,10:05.9,0 days 00:00:27.186000,0 days 00:00:43.530000,0 days 00:00:29.532000,182.1,,Am,,Toyota Gazoo Racing,GF,27.186,43.53,29.532,17.291,17.291,9.895,27.186,30.691,,12.839,0 days 00:01:10.716000,11.245,0 days 00:01:21.961000,,0 days 00:01:40.248000
3,1,18,0 days 00:01:39.611000,0,,27.203,0,,0,,0,133.8,,11:45.5,0 days 00:00:27.203000,0 days 00:00:43.255000,0 days 00:00:29.153000,182.1,,Am,,Toyota Gazoo Racing,GF,27.203,43.255,29.153,17.306,17.306,9.897,27.203,30.423,,12.832,0 days 00:01:10.458000,11.11,0 days 00:01:21.568000,,0 days 00:01:39.611000
3,1,19,0 days 00:01:39.790000,0,,27.195,0,,0,,2,133.5,,13:25.3,0 days 00:00:27.195000,0 days 00:00:43.540000,0 days 00:00:29.055000,181.2,,Am,,Toyota Gazoo Racing,GF,27.195,43.54,29.055,17.246,17.246,9.949,27.195,30.664,,12.876,0 days 00:01:10.735000,11.038,0 days 00:01:21.773000,,0 days 00:01:39.790000
3,1,20,0 days 00:01:39.552000,0,,27.16,0,,0,,0,133.9,,15:04.8,0 days 00:00:27.160000,0 days 00:00:43.247000,0 days 00:00:29.145000,182.1,,Am,,Toyota Gazoo Racing,GF,27.16,43.247,29.145,17.289,17.289,9.871,27.16,30.434,,12.813,0 days 00:01:10.407000,11.04,0 days 00:01:21.447000,,0 days 00:01:39.552000
3,1,21,0 days 00:01:39.805000,0,,27.201,0,,0,,0,133.5,,16:44.6,0 days 00:00:27.201000,0 days 00:00:43.335000,0 days 00:00:29.269000,181.2,,Am,,Toyota Gazoo Racing,GF,27.201,43.335,29.269,17.361,17.361,9.84,27.201,30.509,,12.826,0 days 00:01:10.536000,11.084,0 days 00:01:21.620000,,0 days 00:01:39.805000
3,1,22,0 days 00:01:39.982000,0,,27.435,0,,0,,0,133.3,,18:24.6,0 days 00:00:27.435000,0 days 00:00:43.165000,0 days 00:00:29.382000,182.1,,Am,,Toyota Gazoo Racing,GF,27.435,43.165,29.382,17.635,17.635,9.8,27.435,30.431,,12.734,0 days 00:01:10.600000,11.296,0 days 00:01:21.896000,,0 days 00:01:39.982000
3,1,23,0 days 00:01:40.296000,0,,27.128,0,,0,,0,132.9,,20:04.9,0 days 00:00:27.128000,0 days 00:00:43.856000,0 days 00:00:29.312000,182.1,,Am,,Toyota Gazoo Racing,GF,27.128,43.856,29.312,17.326,17.326,9.802,27.128,30.983,,12.873,0 days 00:01:10.984000,11.32,0 days 00:01:22.304000,,0 days 00:01:40.296000
3,1,24,0 days 00:01:39.975000,0,,27.268,0,,0,,0,133.3,,21:44.9,0 days 00:00:27.268000,0 days 00:00:43.240000,0 days 00:00:29.467000,181.2,,Am,,Toyota Gazoo Racing,GF,27.268,43.24,29.467,17.35,17.35,9.918,27.268,30.378,,12.862,0 days 00:01:10.508000,11.307,0 days 00:01:21.815000,,0 days 00:01:39.975000
3,1,25,0 days 00:01:40.126000,0,,27.333,0,,0,,0,133.1,,23:25.0,0 days 00:00:27.333000,0 days 00:00:43.397000,0 days 00:00:29.396000,181.2,,Am,,Toyota Gazoo Racing,GF,27.333,43.397,29.396,17.438,17.438,9.895,27.333,30.537,,12.86,0 days 00:01:10.730000,11.136,0 days 00:01:21.866000,,0 days 00:01:40.126000
3,1,26,0 days 00:01:39.690000,0,,27.245,0,,0,,0,133.7,,25:04.7,0 days 00:00:27.245000,0 days 00:00:43.260000,0 days 00:00:29.185000,182.1,,Am,,Toyota Gazoo Racing,GF,27.245,43.26,29.185,17.352,17.352,9.893,27.245,30.375,,12.885,0 days 00:01:10.505000,11.161,0 days 00:01:21.666000,,0 days 00:01:39.690000
3,1,27,0 days 00:01:40.083000,0,,27.185,0,,0,,0,133.1,,26:44.8,0 days 00:00:27.185000,0 days 00:00:43.294000,0 days 00:00:29.604000,182.1,,Am,,Toyota Gazoo Racing,FF,27.185,43.294,29.604,17.263,17.263,9.922,27.185,30.469,,12.825,0 days 00:01:10.479000,11.375,0 days 00:01:21.854000,,0 days 00:01:40.083000
111,1,1,0 days 00:01:48.689000,0,,30.383,0,,0,,0,122.6,,42:29.8,0 days 00:00:30.383000,0 days 00:00:43.274000,0 days 00:00:35.032000,183.1,,Am,,Toyota Gazoo Racing,FCY,30.383,43.274,35.032,20.422,20.422,9.961,30.383,30.477,0 days 00:01:00.860000,12.797,0 days 00:01:13.657000,11.447,0 days 00:01:25.104000,,0 days 00:01:48.689000
111,1,2,0 days 00:02:14.812000,0,,38.613,0,,0,,0,98.8,,44:44.7,0 days 00:00:38.613000,0 days 00:00:58.871000,0 days 00:00:37.328000,134.2,,Am,,Toyota Gazoo Racing,FCY,38.613,58.871,37.328,21.089,21.089,17.524,38.613,37.929,0 days 00:01:16.542000,20.942,0 days 00:01:37.484000,13.329,0 days 00:01:50.813000,,0 days 00:02:14.812000
111,1,3,0 days 00:01:59.471000,0,,33.508,0,,0,,0,111.5,,46:44.1,0 days 00:00:33.508000,0 days 00:00:51.094000,0 days 00:00:34.869000,140.1,,Am,,Toyota Gazoo Racing,GF,33.508,51.094,34.869,20.292,20.292,13.216,33.508,34.533,0 days 00:01:08.041000,16.561,0 days 00:01:24.602000,13.77,0 days 00:01:38.372000,,0 days 00:01:59.471000
111,1,4,0 days 00:01:40.847000,0,,27.349,0,,0,,0,132.1,,48:25.0,0 days 00:00:27.349000,0 days 00:00:44.511000,0 days 00:00:28.987000,182.1,,Am,,Toyota Gazoo Racing,GF,27.349,44.511,28.987,17.336,17.336,10.013,27.349,31.665,,12.846,0 days 00:01:11.860000,11.138,0 days 00:01:22.998000,,0 days 00:01:40.847000
111,1,5,0 days 00:01:39.289000,0,,26.947,0,,0,,0,134.2,,50:04.3,0 days 00:00:26.947000,0 days 00:00:43.040000,0 days 00:00:29.302000,183.1,,Am,,Toyota Gazoo Racing,GF,26.947,43.04,29.302,17.075,17.075,9.872,26.947,30.244,,12.796,0 days 00:01:09.987000,11.242,0 days 00:01:21.229000,,0 days 00:01:39.289000
111,1,6,0 days 00:01:39.506000,0,,26.956,0,,0,,0,133.9,,51:43.8,0 days 00:00:26.956000,0 days 00:00:43.176000,0 days 00:00:29.374000,183.1,,Am,,Toyota Gazoo Racing,GF,26.956,43.176,29.374,17.074,17.074,9.882,26.956,30.389,,12.787,0 days 00:01:10.132000,11.322,0 days 00:01:21.454000,,0 days 00:01:39.506000
111,1,7,0 days 00:01:39.141000,0,,27.094,0,,0,,0,134.4,,53:22.9,0 days 00:00:27.094000,0 days 00:00:42.972000,0 days 00:00:29.075000,182.1,,Am,,Toyota Gazoo Racing,GF,27.094,42.972,29.075,17.255,17.255,9.839,27.094,30.171,,12.801,0 days 00:01:10.066000,11.199,0 days 00:01:21.265000,,0 days 00:01:39.141000
111,1,8,0 days 00:01:39.301000,0,,27.148,0,,0,,0,134.2,,55:02.2,0 days 00:00:27.148000,0 days 00:00:43.022000,0 days 00:00:29.131000,184.3,,Am,,Toyota Gazoo Racing,GF,27.148,43.022,29.131,17.239,17.239,9.909,27.148,30.254,,12.768,0 days 00:01:10.170000,11.229,0 days 00:01:21.399000,,0 days 00:01:39.301000
111,1,9,0 days 00:01:39.056000,0,,27.132,0,,0,,0,134.5,,56:41.3,0 days 00:00:27.132000,0 days 00:00:42.952000,0 days 00:00:28.972000,184.3,,Am,,Toyota Gazoo Racing,GF,27.132,42.952,28.972,17.247,17.247,9.885,27.132,30.201,,12.751,0 days 00:01:10.084000,11.06,0 days 00:01:21.144000,,0 days 00:01:39.056000
111,1,10,0 days 00:01:39.210000,0,,27.035,0,,0,,0,134.3,,58:20.5,0 days 00:00:27.035000,0 days 00:00:42.957000,0 days 00:00:29.218000,184.3,,Am,,Toyota Gazoo Racing,GF,27.035,42.957,29.218,17.178,17.178,9.857,27.035,30.224,,12.733,0 days 00:01:09.992000,11.297,0 days 00:01:21.289000,,0 days 00:01:39.210000
111,1,11,0 days 00:01:40.034000,0,,27.494,0,,0,,0,133.2,,00:00.5,0 days 00:00:27.494000,0 days 00:00:43.235000,0 days 00:00:29.305000,182.1,,Am,,Toyota Gazoo Racing,GF,27.494,43.235,29.305,17.566,17.566,9.928,27.494,30.43,,12.805,0 days 00:01:10.729000,11.275,0 days 00:01:22.004000,,0 days 00:01:40.034000
111,1,12,0 days 00:01:39.394000,0,,27.066,0,,0,,0,134.1,,01:39.9,0 days 00:00:27.066000,0 days 00:00:43.371000,0 days 00:00:28.957000,183.1,,Am,,Toyota Gazoo Racing,GF,27.066,43.371,28.957,17.207,17.207,9.859,27.066,30.643,,12.728,0 days 00:01:10.437000,11.072,0 days 00:01:21.509000,,0 days 00:01:39.394000
111,1,13,0 days 00:01:39.283000,0,,27.002,0,,0,,0,134.2,,03:19.2,0 days 00:00:27.002000,0 days 00:00:43.081000,0 days 00:00:29.200000,183.1,,Am,,Toyota Gazoo Racing,GF,27.002,43.081,29.2,17.186,17.186,9.816,27.002,30.357,,12.724,0 days 00:01:10.083000,11.137,0 days 00:01:21.220000,,0 days 00:01:39.283000
111,1,14,0 days 00:01:39.571000,0,,27.276,0,,0,,0,133.8,,04:58.8,0 days 00:00:27.276000,0 days 00:00:43.186000,0 days 00:00:29.109000,183.1,,Am,,Toyota Gazoo Racing,GF,27.276,43.186,29.109,17.408,17.408,9.868,27.276,30.413,,12.773,0 days 00:01:10.462000,11.194,0 days 00:01:21.656000,,0 days 00:01:39.571000
111,1,15,0 days 00:01:39.745000,0,,27.371,0,,0,,0,133.6,,06:38.5,0 days 00:00:27.371000,0 days 00:00:43.156000,0 days 00:00:29.218000,183.1,,Am,,Toyota Gazoo Racing,GF,27.371,43.156,29.218,17.524,17.524,9.847,27.371,30.372,,12.784,0 days 00:01:10.527000,11.2,0 days 00:01:21.727000,,0 days 00:01:39.745000
111,1,16,0 days 00:01:39.698000,0,,27.225,0,,0,,0,133.7,,08:18.2,0 days 00:00:27.225000,0 days 00:00:43.359000,0 days 00:00:29.114000,182.1,,Am,,Toyota Gazoo Racing,GF,27.225,43.359,29.114,17.343,17.343,9.882,27.225,30.508,,12.851,0 days 00:01:10.584000,11.103,0 days 00:01:21.687000,,0 days 00:01:39.698000
111,1,17,0 days 00:01:41.763000,0,,27.216,0,,0,,0,130.9,,10:00.0,0 days 00:00:27.216000,0 days 00:00:44.830000,0 days 00:00:29.717000,181.2,,Am,,Toyota Gazoo Racing,GF,27.216,44.83,29.717,17.306,17.306,9.91,27.216,31.899,,12.931,0 days 00:01:12.046000,11.235,0 days 00:01:23.281000,,0 days 00:01:41.763000
111,1,18,0 days 00:01:39.655000,0,,27.297,0,,0,,0,133.7,,11:39.6,0 days 00:00:27.297000,0 days 00:00:43.194000,0 days 00:00:29.164000,183.1,,Am,,Toyota Gazoo Racing,GF,27.297,43.194,29.164,17.351,17.351,9.946,27.297,30.42,,12.774,0 days 00:01:10.491000,11.194,0 days 00:01:21.685000,,0 days 00:01:39.655000
111,1,19,0 days 00:01:39.208000,0,,27.025,0,,0,,0,134.3,,13:18.8,0 days 00:00:27.025000,0 days 00:00:43.001000,0 days 00:00:29.182000,184.3,,Am,,Toyota Gazoo Racing,GF,27.025,43.001,29.182,17.174,17.174,9.851,27.025,30.257,,12.744,0 days 00:01:10.026000,11.215,0 days 00:01:21.241000,,0 days 00:01:39.208000
111,1,20,0 days 00:01:39.708000,0,,27.014,0,,0,,0,133.6,,14:58.5,0 days 00:00:27.014000,0 days 00:00:43.631000,0 days 00:00:29.063000,184.3,,Am,,Toyota Gazoo Racing,GF,27.014,43.631,29.063,17.242,17.242,9.772,27.014,30.903,,12.728,0 days 00:01:10.645000,11.077,0 days 00:01:21.722000,,0 days 00:01:39.708000
111,1,21,0 days 00:01:39.214000,0,,27.1,0,,0,,0,134.3,,16:37.7,0 days 00:00:27.100000,0 days 00:00:43.004000,0 days 00:00:29.110000,183.1,,Am,,Toyota Gazoo Racing,GF,27.1,43.004,29.11,17.22,17.22,9.88,27.1,30.267,,12.737,0 days 00:01:10.104000,11.07,0 days 00:01:21.174000,,0 days 00:01:39.214000
111,1,22,0 days 00:01:39.027000,0,,27.053,0,,2,,0,134.6,,18:16.8,0 days 00:00:27.053000,0 days 00:00:42.904000,0 days 00:00:29.070000,184.3,,Am,,Toyota Gazoo Racing,GF,27.053,42.904,29.07,17.199,17.199,9.854,27.053,30.216,,12.688,0 days 00:01:09.957000,10.948,0 days 00:01:20.905000,,0 days 00:01:39.027000
111,1,23,0 days 00:01:39.490000,0,,27.118,0,,0,,0,133.9,,19:56.3,0 days 00:00:27.118000,0 days 00:00:43.375000,0 days 00:00:28.997000,185.2,,Am,,Toyota Gazoo Racing,GF,27.118,43.375,28.997,17.26,17.26,9.858,27.118,30.681,,12.694,0 days 00:01:10.493000,10.936,0 days 00:01:21.429000,,0 days 00:01:39.490000
111,1,24,0 days 00:01:38.944000,2,,26.98,0,,0,,2,134.7,,21:35.2,0 days 00:00:26.980000,0 days 00:00:43.012000,0 days 00:00:28.952000,184.3,,Am,,Toyota Gazoo Racing,GF,26.98,43.012,28.952,17.134,17.134,9.846,26.98,30.269,,12.743,0 days 00:01:09.992000,11.093,0 days 00:01:21.085000,,0 days 00:01:38.944000
111,1,25,0 days 00:01:39.242000,0,,27.078,0,,0,,0,134.3,,23:14.5,0 days 00:00:27.078000,0 days 00:00:43.076000,0 days 00:00:29.088000,184.3,,Am,,Toyota Gazoo Racing,GF,27.078,43.076,29.088,17.182,17.182,9.896,27.078,30.377,,12.699,0 days 00:01:10.154000,11.081,0 days 00:01:21.235000,,0 days 00:01:39.242000
111,1,26,0 days 00:01:39.168000,0,,27.061,0,,0,,0,134.4,,24:53.6,0 days 00:00:27.061000,0 days 00:00:43.117000,0 days 00:00:28.990000,184.3,,Am,,Toyota Gazoo Racing,GF,27.061,43.117,28.99,17.208,17.208,9.853,27.061,30.393,,12.724,0 days 00:01:10.178000,11.025,0 days 00:01:21.203000,,0 days 00:01:39.168000
111,1,27,0 days 00:01:39.427000,0,,26.922,2,,0,,0,134,,26:33.0,0 days 00:00:26.922000,0 days 00:00:43.308000,0 days 00:00:29.197000,184.3,,Am,,Toyota Gazoo Racing,FF,26.922,43.308,29.197,17.088,17.088,9.834,26.922,30.554,,12.754,0 days 00:01:10.230000,11.125,0 days 00:01:21.355000,,0 days 00:01:39.427000
113,1,1,0 days 00:01:50.777000,0,,30.869,0,,0,,0,120.3,,42:31.9,0 days 00:00:30.869000,0 days 00:00:43.732000,0 days 00:00:36.176000,184.3,,Am,,Toyota Gazoo Racing,FCY,30.869,43.732,36.176,20.881,20.881,9.988,30.869,30.974,0 days 00:01:01.843000,12.758,0 days 00:01:14.601000,11.386,0 days 00:01:25.987000,,0 days 00:01:50.777000
113,1,2,0 days 00:02:14.348000,0,,39.456,0,,0,,0,99.2,,44:46.3,0 days 00:00:39.456000,0 days 00:00:58.202000,0 days 00:00:36.690000,133,,Am,,Toyota Gazoo Racing,FCY,39.456,58.202,36.69,21.28,21.28,18.176,39.456,37.19,0 days 00:01:16.646000,21.012,0 days 00:01:37.658000,12.518,0 days 00:01:50.176000,,0 days 00:02:14.348000
113,1,3,0 days 00:01:58.519000,0,,33.793,0,,0,,0,112.4,,46:44.8,0 days 00:00:33.793000,0 days 00:00:50.560000,0 days 00:00:34.166000,141.2,,Am,,Toyota Gazoo Racing,GF,33.793,50.56,34.166,21.263,21.263,12.53,33.793,34.534,0 days 00:01:08.327000,16.026,0 days 00:01:24.353000,13.279,0 days 00:01:37.632000,,0 days 00:01:58.519000
113,1,4,0 days 00:01:40.803000,0,,27.711,0,,0,,0,132.2,,48:25.6,0 days 00:00:27.711000,0 days 00:00:44.062000,0 days 00:00:29.030000,184.3,,Am,,Toyota Gazoo Racing,GF,27.711,44.062,29.03,17.623,17.623,10.088,27.711,31.352,,12.71,0 days 00:01:11.773000,11.012,0 days 00:01:22.785000,,0 days 00:01:40.803000
113,1,5,0 days 00:01:39.195000,0,,27.035,0,,0,,0,134.3,,50:04.8,0 days 00:00:27.035000,0 days 00:00:42.900000,0 days 00:00:29.260000,184.3,,Am,,Toyota Gazoo Racing,GF,27.035,42.9,29.26,17.191,17.191,9.844,27.035,30.195,,12.705,0 days 00:01:09.935000,11.069,0 days 00:01:21.004000,,0 days 00:01:39.195000
113,1,6,0 days 00:01:39.463000,0,,27.048,0,,0,,0,134,,51:44.3,0 days 00:00:27.048000,0 days 00:00:43.177000,0 days 00:00:29.238000,183.1,,Am,,Toyota Gazoo Racing,GF,27.048,43.177,29.238,17.168,17.168,9.88,27.048,30.377,,12.8,0 days 00:01:10.225000,11.101,0 days 00:01:21.326000,,0 days 00:01:39.463000
113,1,7,0 days 00:01:39.522000,0,,27.299,0,,0,,0,133.9,,53:23.8,0 days 00:00:27.299000,0 days 00:00:43.057000,0 days 00:00:29.166000,184.3,,Am,,Toyota Gazoo Racing,GF,27.299,43.057,29.166,17.498,17.498,9.801,27.299,30.332,,12.725,0 days 00:01:10.356000,10.969,0 days 00:01:21.325000,,0 days 00:01:39.522000
113,1,8,0 days 00:01:39.275000,0,,27.047,0,,0,,0,134.2,,55:03.1,0 days 00:00:27.047000,0 days 00:00:43.091000,0 days 00:00:29.137000,185.2,,Am,,Toyota Gazoo Racing,GF,27.047,43.091,29.137,17.158,17.158,9.889,27.047,30.379,,12.712,0 days 00:01:10.138000,11.118,0 days 00:01:21.256000,,0 days 00:01:39.275000
113,1,9,0 days 00:01:39.774000,0,,26.837,2,,0,,0,133.6,,56:42.8,0 days 00:00:26.837000,0 days 00:00:43.275000,0 days 00:00:29.662000,185.2,,Am,,Toyota Gazoo Racing,GF,26.837,43.275,29.662,16.991,16.991,9.846,26.837,30.548,,12.727,0 days 00:01:10.112000,11.567,0 days 00:01:21.679000,,0 days 00:01:39.774000
113,1,10,0 days 00:01:39.182000,0,,26.89,0,,2,,0,134.4,,58:22.0,0 days 00:00:26.890000,0 days 00:00:42.833000,0 days 00:00:29.459000,184.3,,Am,,Toyota Gazoo Racing,GF,26.89,42.833,29.459,17.047,17.047,9.843,26.89,30.126,,12.707,0 days 00:01:09.723000,11.128,0 days 00:01:20.851000,,0 days 00:01:39.182000
113,1,11,0 days 00:01:40.058000,0,,27.497,0,,0,,0,133.2,,00:02.1,0 days 00:00:27.497000,0 days 00:00:43.099000,0 days 00:00:29.462000,184.3,,Am,,Toyota Gazoo Racing,GF,27.497,43.099,29.462,17.652,17.652,9.845,27.497,30.387,,12.712,0 days 00:01:10.596000,11.116,0 days 00:01:21.712000,,0 days 00:01:40.058000
113,1,12,0 days 00:01:39.232000,0,,26.946,0,,0,,0,134.3,,01:41.3,0 days 00:00:26.946000,0 days 00:00:42.973000,0 days 00:00:29.313000,184.3,,Am,,Toyota Gazoo Racing,GF,26.946,42.973,29.313,17.107,17.107,9.839,26.946,30.268,,12.705,0 days 00:01:09.919000,11.102,0 days 00:01:21.021000,,0 days 00:01:39.232000
113,1,13,0 days 00:01:39.071000,0,,26.961,0,,0,,0,134.5,,03:20.4,0 days 00:00:26.961000,0 days 00:00:43.094000,0 days 00:00:29.016000,183.1,,Am,,Toyota Gazoo Racing,GF,26.961,43.094,29.016,17.142,17.142,9.819,26.961,30.305,,12.789,0 days 00:01:10.055000,11.042,0 days 00:01:21.097000,,0 days 00:01:39.071000
113,1,14,0 days 00:01:39.056000,2,,27.312,0,,0,,2,134.5,,04:59.4,0 days 00:00:27.312000,0 days 00:00:42.860000,0 days 00:00:28.884000,183.1,,Am,,Toyota Gazoo Racing,GF,27.312,42.86,28.884,17.387,17.387,9.925,27.312,30.114,,12.746,0 days 00:01:10.172000,11.017,0 days 00:01:21.189000,,0 days 00:01:39.056000
113,1,15,0 days 00:01:39.274000,0,,27.014,0,,0,,0,134.2,,06:38.7,0 days 00:00:27.014000,0 days 00:00:43.212000,0 days 00:00:29.048000,185.2,,Am,,Toyota Gazoo Racing,GF,27.014,43.212,29.048,17.183,17.183,9.831,27.014,30.451,,12.761,0 days 00:01:10.226000,11.021,0 days 00:01:21.247000,,0 days 00:01:39.274000
